# format of this file:
# generation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector]
0	<7.20936,65.3794,4.97,60.7064,2.60738,13.3418,5.73562,94.3032,3.32254,87.4608,1.96938,40.5493,2.41533,79.6359,6.5233,10.3283>	0	<>	<7,451.705,-94.3032>
0	<6.50562,19.2578,2.39517,76.8657,2.22858,58.3917,3.94857,97.1487,4.1079,95.6446,6.55826,65.8607,5.57541,84.7908,4.49712,54.0682>	0	<>	<7,552.028,-97.1487>
0	<4.51191,6.67311,2.03422,73.1327,2.40104,82.4262,5.72052,53.1941,5.89209,81.2842,7.56204,90.106,5.26441,72.6476,1.0304,39.5718>	0	<>	<8,499.036,-90.106>
0	<7.43338,20.3653,2.15062,9.45652,6.51299,58.5599,1.46237,23.1556,4.79431,86.0089,7.23114,19.5675,5.95598,38.9751,6.1545,20.9699>	0	<>	<7,277.059,-86.0089>
0	<4.19537,88.4103,7.58718,65.6631,5.95856,61.5385,2.32,40.7236,3.99759,12.6006,3.15807,3.74277,6.96737,31.2639,4.03202,77.1536>	0	<>	<8,381.096,-88.4103>
0	<4.61405,59.752,7.06271,30.3863,2.28184,93.2153,4.74793,72.5164,6.5457,42.5582,7.44588,50.024,6.70733,65.7196,5.96957,27.1815>	0	<>	<7,441.353,-93.2153>
0	<4.78909,65.0965,7.49912,24.9664,2.86445,11.7018,5.5983,69.4577,2.70116,96.5195,6.12403,9.55052,2.94484,16.515,7.06929,79.4126>	0	<>	<7,373.22,-96.5195>
0	<6.33869,73.3143,1.68592,94.579,5.65707,63.3408,5.69668,45.7539,1.41293,59.1794,7.70445,87.4323,2.74293,66.7717,2.02296,79.029>	0	<>	<8,569.4,-94.579>
0	<3.23077,7.45827,1.27968,58.5032,2.3412,69.6853,2.95726,43.4623,5.63434,1.16132,4.7109,93.9883,2.23735,39.717,6.13806,93.9434>	0	<>	<6,407.919,-93.9883>
0	<1.91219,83.1998,7.19657,79.5609,4.25784,55.6179,2.77203,52.4396,2.03581,21.0926,3.79103,39.6964,7.1505,54.4856,2.31077,19.7324>	0	<>	<7,405.825,-83.1998>
