# format of this file:
# evaluation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector] 	 evaluator_rank 	 evaluation_time 	 life_time 
108	<3.1830766534819625590557735,0,1,13.817507347239885717726793,1.7107650203214794792927478,14.819434850858261398798277,2.1291778782052817042824699,73.476660053002021300017077,1.5050114674982668638847372,27.081466013137934112364746,4.778419371591144937383433,56.340494265938410478611331,1.7763249477261329190014294,13.935718691877889696684178,5.4999199316370859236258184,0>	0	<>	<5,199.47130000000001359694579,-73.476699999999993906385498>	0	0.099843000000000001192823618	0
109	<1,25.879318847497607691821031,1.9928996739875990407142581,0,2.3645385207443210262567845,99.19813321866007527205511,1.0121245625252484057199354,28.857961776134541054261717,5.6930017255679707943727408,81.304251952704163386442815,5.2689987857681694904954384,0,1,19.206201163915082474886731,1,0>	0	<>	<6,254.44589999999999463398126,-99.198099999999996612132236>	0	0.085054999999999991722177128	0
110	<3.21041369354837291538729,2.4705390457392386593937772,1.2112800538126753391310331,15.656630385740021083051943,7.2979714764738323751203097,75.568724808082322397240205,2.6438677318598458043652499,29.539684313135076365597342,2.2652191404556942799786157,75.596980832329478516840027,4.8409595074322817609413505,52.873788193275125024683803,5.3051080472325473635919479,54.220869696801933912411187,1.6796054670957873966585794,9.7836690534761494575377583>	0	<>	<7,315.71091000000001258740667,-75.596999999999994201971276>	0	0.097844000000000000416555679	0
111	<5.3845218901450380144524388,18.986700251226640290269643,5.1994571961459969955399174,72.616192220065826745667437,6.0400840663537778141289891,57.583191272608559074797085,4.9639240996744131706464032,6.9453285573727114865505428,5.9938471512840347799055962,19.837398137821534049862748,2.3866372864631175687577525,0,1.209485317910782065098374,28.167383581710691231592136,5.6051385265798954193883219,38.355011557394178112190275>	0	<>	<6,242.49123000000000160980562,-72.61620000000000629825081>	0	0.10335400000000000142463819	0
112	<3.669747141967409920226828,0.375,1.3304662650127272449651628,0,5.9709478271989837594446726,62.14226603607752963398525,5.6179017506623178945801556,55.941342635052905052361893,1.6555188035850965100337362,67.844748621734211724287889,2.6355093031355689703332246,18.688220632583004032767349,2.4855673236239548273829314,21.353161531199312150874903,7.1536329100623881060982967,100>	0	<>	<7,326.34469999999998890416464,-100>	0	0.094874000000000013876899629	0
113	<1,99.121534917094521688341047,3.7490233046696630481164902,74.859220290025334065830975,3.4777139488038204540032439,82.799362196959265247642179,4.5156923544200573417128908,60.730809839782679659947462,6.1821790855294924682539204,81.929627005909395620619762,2.1316575725244626404730752,79.198616081475563532876549,6.4543753547847160234596231,34.446848386175396683483996,2.7025926409766976021842311,0>	0	<>	<6,513.08590000000003783497959,-99.12149999999999749888957>	0	0.090998999999999996557420445	0
114	<1.6260597629593962487604131,99.009465751708233938188641,2.7517436615898009932834611,1.5450778890145373534181772,2.5246270930043550606569625,81.921553882733704199381464,3.9313840027579032287974314,7.2249262161668976744977044,1.9494372601385401289064703,47.235284860821110441975179,4.7872579290006580521321666,44.89874120098480148044473,4.356325715014863320106997,53.334767163421382463184273,6.8399318921565690487796019,53.90176924592897478305531>	0	<>	<7,389.07170999999999594365363,-99.009500000000002728484105>	0	0.097136000000000000120792265	0
115	<5.1093327269117967404099545,5.2420337243201364785250007,4.7529758781907034403957368,70.311405542451609562704107,3.8311450452688826651126419,0,4.3758637748546265200388916,96.740376668395654746746004,1.6892153782254157867726008,65.838221724069782680999197,3.8630052590104777543444925,12.383432273000213541536141,1.1522606937923751679875295,4.7921876911037548651961515,6.380533824851984725512466,61.232780786805221850954695>	0	<>	<6,316.54041999999998324710759,-96.740399999999993951860233>	0	0.13244500000000000716759985	0
116	<3.3216677564530017185973065,83.059388530933944139178493,5.9137922273547349760747238,4.4230180347445502420100638,5.5486659689567359166062488,12.073946097900135399072497,1.8153560975638014518551699,78.544331844218234550680791,5.1516461671104867292569907,48.310408570598994515421509,2.6410151099045831024625386,7.2567411266531518521105681,4.2428072342848439646445513,6.8706714580164627292901969,5.2810957293403779644336282,25.266186765053397778046929>	0	<>	<6,265.80462999999997464328771,-83.059399999999996566657501>	0	0.089065999999999992398080906	0
117	<4.3288104856986606705504528,22.284716657495458491666795,4.0839696554858093691109389,85.062395774322752117768687,2.1789121861471385521724642,49.865478300426843816239852,4.6965101234132937690901599,58.565653561877859090145648,5.3624561086122204400794544,23.51219264022642363443083,1.2648341233212661016693801,0,3.962337713671074013177531,59.939768286393849905380193,5.6323920498287272096149536,7.6721709722989102075985102>	0	<>	<6,306.9024699999999938881956,-85.062399999999996680344339>	0	0.10142500000000000126565425	0
118	<4.7890930924513810396092595,0,1,7.6362147291126740711320053,2.8644498716408621774576204,11.701755650202629865930248,5.598296806494843735890754,69.457692871549028268418624,2.7011624657088715295572001,96.519527489561369293369353,6.1240326725524072415396404,70.423407978575397692111437,2.9448392009105717193051532,16.515040125937684223345059,7.0692892074907618393808661,79.412643136183092451574339>	0	<>	<7,351.66620999999997820850695,-96.519499999999993633537088>	0	0.10219299999999999217781266	0
119	<4.3797487865107829208000112,18.198047167713774285857653,3.898697730572287856176672,27.552009386733178786244025,2.2362819967029068379815726,5.8151902520634175530744869,1.4028057786183458777173882,23.369162913118099567100217,7.9887423007696600762983508,23.427377419279597603463117,4.7465461947706275580571855,82.255001078478528597770492,7.1535586002997861854169059,10.259776241266996166245917,1.9752590339515632145150903,97.953278244451283285343379>	0	<>	<8,288.82988999999997759005055,-97.95329999999999870397005>	0	0.098740999999999995440091993	0
120	<1.3808629535515155595248871,21.49830428953203664832472,8,9.4565182036983408409014373,6.5129930514437113231451804,58.559925695210658602718468,1.4623650468244986377897021,23.155620937773782941349054,4.7943139815676563131319199,86.008912737485445632046321,7.2311404665145744274923345,19.567509749702882260180559,5.9559805006515142977718824,38.97508482401030249775431,6.1544989222448780452623396,20.969886715044214753334018>	0	<>	<8,278.19171999999997524355422,-86.008899999999997021404852>	0	0.088081999999999993633537088	0
121	<7.3076522910537438093570017,99.015801446054041434763349,3.8247451613772405210056604,9.6027258362633762800442128,7.8749754232703592649045277,100,2.5689051878028106301599109,65.25681636541001751083968,6.5718311316202537852859678,86.006870114247718106526008,4.7465461947706275580571855,82.255001078478528597770492,2.5023465834103273408572932,69.718464589546655929552799,1.3770977642280504138483366,84.098121050790936692465039>	0	<>	<8,595.9538300000000390355126,-100>	0	0.10588099999999998901412113	0
122	<3.1795076188535928984890688,59.982249215236983275190141,5.7616773090612500851648292,6.8053015539447319071086895,5.9913627793972210611173068,11.734719160820691996605092,1.6144693648044343703418235,58.22509669616124483582098,3.1165852039663981543071714,47.167164900883641109885502,1.4652588020382721900602974,2.9600134598836365107388247,1.244554810805504674320332,64.851681080112086874578381,4.3671408641930398175645678,10.938732517388990217455103>	0	<>	<6,262.66491000000002031811164,-64.851699999999993906385498>	0	0.10115499999999999491961944	0
123	<5.3360686881169998585505709,22.72069692738386592623101,6.4764902621863829068615814,81.103860578082432652990974,7.4684209490513522311516681,6.1964290711080787232845069,1,0,2.6642126236875602884879299,77.57906852177301004758192,4.6819383137309635856126988,84.950939558889217551040929,2.2107245354963112049517804,26.000023039989184070464034,2.32842774425094400925218,30.327320625226629857706939>	0	<>	<7,328.87833000000000538420863,-84.950900000000004297362466>	0	0.10373899999999999788080629	0
124	<7.7032159090522753785990062,22.9416686682690240672855,5.562354259454810545548753,73.215353429883421654267295,1.9604195852113979192665738,0,4.1110700546349718820238195,88.669031829884744411174324,2.3468173182787452901720826,0,1.7665247427143737635191201,74.227506934771085411739477,4.43882312785779298280886,84.008890429515801656634721,5.6362086258065930977068092,7.9440761860199629040835134>	0	<>	<8,351.0065799999999853753252,-88.668999999999996930455382>	0	0.10916999999999998927080469	0
125	<2.8512120912089997659677465,83.134696469326598844418186,3.2949009556532375952997427,73.453591425648696144889982,7.8749754232703592649045277,98.293335641870896779437317,3.6922481361274832600827267,65.25681636541001751083968,6.5718311316202537852859678,86.006870114247718106526008,4.7465461947706275580571855,82.255001078478528597770492,2.5023465834103273408572932,69.718464589546655929552799,1.3770977642280504138483366,84.098121050790936692465039>	0	<>	<8,642.21690000000000964064384,-98.293300000000002114575182>	0	0.09801999999999999602096068	0
126	<5.1172622084232335382125711,67.745337946221852121198026,6.7393296449395494462919487,16.429169330247290758961753,3.1498669647378227942624562,8.0278187561909764013989843,3.3859104343624366606491094,97.577739366133570797501307,1.0264298087109018364770918,55.296812092557928508540499,6.9246348579994565497486292,14.508513088574872540448268,1.3350451436522625670022535,68.170579368328020564149483,1.9578281487141868666412847,27.24076961061952673048836>	0	<>	<7,354.99671999999998206476448,-97.577699999999992996890796>	0	0.093187999999999993061550185	0
127	<1,10.805850125613320145134821,6.3819438216192390100900411,95.243992188593367131943523,1,1.1971474027713515653204013,4.5648101035341666076305955,40.331836389532234932175925,6.981117742127327829848582,31.641835594382992979944902,1.3750859374995743067415788,74.118180048707031915000698,3.1934746206707669280433493,0.71222530711080189735895374,6.039416266157950907711438,38.52885725839475838938597>	0	<>	<7,292.57997499999999035935616,-95.243999999999999772626325>	0	0.086976999999999998758326569	0
128	<1,7.4582665262083835955309041,1.2796753543800094554683255,58.50316111860012568968159,5.1059945542858891087689699,69.685316630492593503731769,2.9572597760508116948585666,43.462343115109177915655891,5.6343390851441483846429037,1.1613206477655659831782486,4.7109005380006969687656238,93.988261229353142311992997,2.2373452541592273590254081,39.716996317597569543522695,6.1380633023279083104739584,93.943428757574139353891951>	0	<>	<6,407.91908999999998286511982,-93.988299999999995293364918>	0	0.097063999999999997503330462	0
129	<1.4167981322001657051856682,25.605602015557511919041644,1.6188183960592459342819893,46.399188296123959673877835,7.1179726729718844069338957,57.066888155912465663277544,4.01976954425674382065381,97.245543635098982804265688,2.6033576883391278400381452,33.957159102175921816524351,1.6740283103073148041062268,25.080262648444744399967021,1.5591251538410437760262539,86.493744787989996325450193,7.0419130404674978862544776,35.751703118789805557753425>	0	<>	<7,407.60009999999999763531378,-97.245500000000006934897101>	0	0.09427699999999999969091391	0
130	<5.1928008218262347028826298,53.331071861708103654109436,1.0792954336289761751999094,70.050940648676331079514057,5.7705354698796460510834549,17.263904454775108376907156,4.0469320458578561527929196,75.364956248255893456189369,6.4812011530069639775319956,91.231767642885344571368478,3.2193815327339718734833696,0,1.3617240401737968902295961,95.990020966152670212068188,2.2796218145078146477544578,45.124135979043380473285652>	0	<>	<6,448.35680000000002110027708,-95.989999999999994884092303>	0	0.099048999999999998156141601	0
131	<6.505620425802479012133972,19.257773561057529576601155,2.3951713765948876577738247,76.865654940188704813408549,2.2285776409453608160049498,57.255226423617088471473835,5.7735767832019257994602413,97.148696750937347133003641,4.1079004174600823873220179,95.644559802321978736472374,6.5582588447994822900000145,0,5.5754117041711745983434412,84.79080874695945624353044,4.4971154711661469605132879,54.068189139509662766158726>	0	<>	<7,485.03100000000000591171556,-97.148700000000005161382433>	0	0.10083099999999999007993523	0
132	<7.177944589023452337528397,96.677438540699625946217566,2.403578178213712668309654,44.829173779501196861474455,5.3777631732531654407125643,16.892321043132021429755696,4.0685998332074841954408839,69.515704395955296490683395,2.1671471810746689712345869,79.800779642444467754103243,4.5173310905310000151757777,63.396897243055001069933496,3.937355079193299189910249,0,1,17.994287152771970994535877>	0	<>	<7,389.10660000000001446096576,-96.677400000000005775291356>	0	0.093772999999999995246469098	0
133	<5.5747142576494788102081657,21.159643736276610326285663,2.733179360038218597139803,87.014630058321458250247815,7.0680145654212749306566366,93.041948924326320025102177,5.7796172428781247276674549,2.2062873340706730118654377,6.9505951693051475359652613,3.8983067981425238990311755,4.0877917269653600840229046,41.074924516060818291407486,2.4136183147382075375730892,97.459243825734233723778743,4.4832515614029260220263495,96.473037123900382994179381>	0	<>	<7,442.32780000000002473825589,-97.459199999999995611688064>	0	0.099322999999999994624744204	0
134	<1.5211564654117246675468778,95.540805205488950946346449,7.8910891678608434673947158,54.064487597935126927950478,2.8667409899024018926638746,75.115426012834262792239315,1.0366140925495950231294273,81.222029114711105535207025,5.1722832923625983170268228,28.240904364847068563904031,2.6579016831973110157605333,100,1,3.5399811919964765394297501,2.170558779347016908900514,14.011678990913406295248933>	0	<>	<8,451.73527999999998883140506,-100>	0	0.09842700000000000060129679	0
135	<4.5877028431686124321231546,7.4582665262083835955309041,2.3212578381976385344387381,55.86527015821322095234791,2.3035273436939007751789177,0.083432765716422704893595608,7.9273550440219020529752925,53.346010927737694373718114,5.0347674945531259993458661,52.06818122047380370531755,2.919953481722601384973359,64.537586115550993781653233,7.0033751800672039422579473,25.358193845189266113493431,3.9628512193275855501894966,0>	0	<>	<8,258.71700279999998883795342,-64.537599999999997635313775>	0	0.10000399999999999567368292	0
136	<2.5575425594847378540919181,67.035954523382685010801652,2.1928704461049615126455592,33.253051994253439715976128,1.9198911329358308019976675,11.322933301014328932865283,5.454195358536297000284776,93.744037623398028813426208,7.0843939925936956214513884,18.502212324413569888292841,4.2632478039074914732964316,48.421457665237348066966661,6.0906157414850854436849659,56.326475300046837446643622,5.0743588703099442582811207,45.141998839165083268198941>	0	<>	<7,373.74819999999999708961695,-93.743999999999999772626325>	0	0.10159699999999999286970365	0
137	<6.3394942839348198404536561,25.773241056955065175770869,2.6915102676448925400620737,47.583672286748736723893671,3.6255572152443029665391805,94.556886048315504922356922,1.4066138255440694404541091,67.744891749576154893475177,3.9206835631843115486105944,12.455323251176309895527083,5.9493433646621847188384891,45.21769110356350296342498,6.4114903031901873120546043,18.80691750850850496590283,4.930949653466674575952311,37.699490523757177129482443>	0	<>	<6,349.83809999999999718056642,-94.556899999999998840394255>	0	0.095820999999999989515941934	0
138	<1.8583491504464064725254957,10.682005177889720926032169,7.5871819921709509060292476,15.656630385740021083051943,5.9585551968582697313081553,61.538534453855142203337891,2.3200040707923488270125745,40.723550245502757150006801,3.9975886293675695348781574,12.600565241929407633847404,3.158070114514823334417315,3.7427738791996492118130391,6.9673740542341837667095206,31.263889712870071235784053,4.03202013952286009157433,77.153609822110084337509761>	0	<>	<8,253.36157000000000039108272,-77.153599999999997294253262>	0	0.10877099999999999269117978	0
139	<3.9947472840988766940029109,0,1.5757795849702227464206317,79.560858374257037439747364,4.2578434139759480103748501,55.617910649449520121834212,2.7720301578622450477951134,52.439606260713006236073852,2.0358123863282671095475962,21.092551909895870920763628,3.7910301991696608858717354,39.69637660295533976295701,7.1504975804828561081194493,54.485571875463037372355757,2.3107734272772324501943331,19.732414055491059201585813>	0	<>	<7,322.62540000000001327862265,-79.560900000000003728928277>	0	0.092763999999999999235278381	0
140	<4.6227959830420068954026647,0,1,28.425476708531135727753281,7.0273766580630923073158556,83.087530049070494442275958,5.7157414272500863816617311,34.426318404463266631410079,4.5890613522329655182829811,64.681993687842975759849651,4.565235109564492077538489,56.058664226931831819911167,3.2996801139319686946294041,25.128724530864843700328493,3.2833501059950096490069882,28.61280028178021339613224>	0	<>	<7,320.42149999999998044586391,-83.087500000000005684341886>	0	0.10090499999999999469757483	0
141	<6.0693241805160997870416395,0,1,53.302132130275545307540597,4.2633576664437349279523914,31.126923268254344634442532,6.3669906530375550701705833,46.458570913625216292075493,4.8188010481273764185061736,84.488621067483265392183966,2.9402492097300707563078959,42.462280691816602029575733,7.6323878116125181136908395,77.330488724322279381340195,5.1089471148368659214611398,26.325735741446603555004913>	0	<>	<8,361.49470000000002301021595,-84.488600000000005252331903>	0	0.11406099999999999572430909	0
142	<1,27.180803021034598998539877,1.1953226910882268629876535,36.860135773597349384544941,1.6986115619999408998808121,53.014500696684464742247656,7.8313661929366018554787843,84.011294964706195287362789,3.4460889359219413208279548,13.757482317163367113721506,4.6144408054484244985360419,0,3.2655237849175575703952745,87.532663060134581201054971,1.9064351063717319689772012,46.242688943744958862680505>	0	<>	<8,348.5996000000000094587449,-87.532700000000005502442946>	0	0.097381000000000050853543598	0
143	<1.7031708735521746689300926,21.317562237995474561103038,7.1976787025098127870137432,28.667117435795773872087011,2.4980696502598327413124935,87.50048204674408225400839,6.7409189854473430258963162,79.040530640185124866547994,3.7698064254456231658707566,42.554281658052595105345972,3.3293772339026337370171404,22.090038281208855153181503,1.044364134336059901642102,25.468635068260432774422952,6.7925550168345480983589368,49.174755252513449477191898>	0	<>	<7,355.81340000000000145519152,-87.500500000000002387423592>	0	0.098040000000000002144950884	0
144	<3.7969654750996109093819086,26.175628614693707163496583,4.1717838785479699481584248,74.00539935287339687874919,5.2552971617576194063303774,25.355551124250307992724629,1.5902202397539375589019528,73.42342653936866270214523,7.302628136846529116610327,57.366549250374802682017616,3.0637463536410343145632851,22.890117821698133582231094,6.7746691646867756020355955,46.592495938107603592470696,4.6052042705031137614923864,30.565666933807388971899854>	0	<>	<7,356.37479999999999336068868,-74.005399999999994520294422>	0	0.098900999999999988920862393	0
145	<6.6769588415869316477824214,2.0870015500518501738724808,7.6280760721434264226559208,67.785334339265403968965984,7.6590265332064717540561105,62.967047310884595390234608,4.3766907720718020158301442,80.137452846456994848267641,5.6805747908915273924890244,92.349749986245186050837219,3.2385284778375771352898482,18.826136816677703222921991,1,24.458662162049979116318354,4.7782820373672443281520827,55.811751962551731764961005>	0	<>	<8,404.42309999999997671693563,-92.349699999999998567545845>	0	0.097755999999999995675459274	0
146	<7.209361538854130557751887,65.379356623338239273834915,4.9700019257003447137321928,60.706365742118265416138456,2.6073783494566464824515606,31.257316082020906833349727,5.7356186009643685963510507,94.303221439152594030019827,3.322543895022265658667493,87.460798391821228392473131,1.9693757979988006923122157,40.549259698274198626677389,1,79.635918969118932864148519,6.5232989911564152052392274,10.328293782811748258154694>	0	<>	<7,469.62060000000002446540748,-94.303200000000003910827218>	0	0.096578999999999998182786953	0
147	<4.614045818622245498374923,59.752027857933207144469634,7.0627089650662195907671048,0,2.2818367454604415733854239,93.21534302701024898851756,4.7479323357101215208331269,72.516439004110381461032375,6.5456979002550701451923487,42.558182888924228848281928,7.445876412766928353903495,50.023977155808346140020149,6.7073287399054173363310838,20.395919759942181315182097,5.9695704709596792980619284,27.181458159900017790278071>	0	<>	<7,365.64330000000001064108801,-93.215299999999999158717401>	0	0.12855700000000000460254057	0
148	<7.8626850800880623282296256,43.452287345869599732850475,4.1081447918471623026448469,86.985419265453430170964566,5.9709478271989837594446726,62.14226603607752963398525,5.6179017506623178945801556,55.941342635052905052361893,6.5243887161018276898971635,78.160401167422719481692184,2.6355093031355689703332246,18.688220632583004032767349,2.4855673236239548273829314,21.353161531199312150874903,7.1536329100623881060982967,27.931103914944038990597619>	0	<>	<8,394.65420000000000300133252,-86.985399999999998499333742>	0	0.10122799999999999853717014	0
149	<1.9121879082695523166535168,83.199817027524034074303927,7.1965715141019650502585137,79.560858374257037439747364,4.2578434139759480103748501,55.617910649449520121834212,2.7720301578622450477951134,52.439606260713006236073852,7.0532214839724929333897308,14.561766322963759279218721,5.4207444054404012589998274,39.69637660295533976295701,7.1504975804828561081194493,54.485571875463037372355757,2.3107734272772324501943331,19.732414055491059201585813>	0	<>	<7,399.29439999999999599822331,-83.19979999999999620285962>	0	0.10124199999999999866062694	0
150	<1,1.5,1.9473142074175711080386009,0,3,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,1.5>	0	<>	<3,10.5,-1.5>	0	0.10036599999999999688338193	0
151	<3.0546663634558983702049773,0,2.4492904941780913041782242,1.5,3,1.5,1,1.5,2,1.5,3,1.5,1,0,3.8389705919376435616641174,32.116390393402610925477347>	0	<>	<4,39.616399999999998726707418,-32.116399999999998726707418>	0	0.098659999999999997699617893	0
152	<1,1.5,2,1.5,3,1.5,1,1.5,2,100,3,1.5,1,1.5,2,1.5>	0	<>	<3,110.5,-100>	0	0.098399000000000014232170997	0
153	<1,1.5,2,1.5,3,1.5,1,13.962489987938891289331877,1.6928235023249049717719572,40.630281961467247242580925,3,1.5,1,1.5,2,1.5>	0	<>	<3,63.592799999999996884980646,-40.630299999999998306066118>	0	0.09157400000000000261923816	0
154	<1,1.5,4.4474483560526039127580589,83.968897298487789271348447,3.0265832165147097398971709,1.5,1,1.5,2,1.5,3,1.5,1,1.5,2,17.334133278268453182136>	0	<>	<4,110.30299999999999727151589,-83.968900000000004979483492>	0	0.11242699999999999915800686	0
155	<3.1830766534819625590557735,0,1,13.817507347239885717726793,1.7107650203214794792927478,14.819434850858261398798277,1,73.476660053002021300017077,1.5050114674982668638847372,27.081466013137934112364746,4.778419371591144937383433,56.340494265938410478611331,1.7763249477261329190014294,13.935718691877889696684178,5.4999199316370859236258184,0>	0	<>	<5,199.47130000000001359694579,-73.476699999999993906385498>	0	0.074549999999999991273647026	0
156	<3.21041369354837291538729,2.4705390457392386593937772,1.2112800538126753391310331,15.656630385740021083051943,7.2979714764738323751203097,8.6335239506482732707581818,3.2413204886211643973581431,29.539684313135076365597342,2.2652191404556942799786157,75.596980832329478516840027,2.6812317904230353882155669,57.045716260115483464687713,6.560344280470323141685185,54.220869696801933912411187,1.6796054670957873966585794,9.7836690534761494575377583>	0	<>	<7,252.94763000000000374711817,-75.596999999999994201971276>	0	0.099591999999999999970690112	0
157	<1,0,1.9928996739875990407142581,0,2.3645385207443210262567845,99.19813321866007527205511,1.0121245625252484057199354,28.857961776134541054261717,5.6930017255679707943727408,81.304251952704163386442815,5.2689987857681694904954384,0,1,19.206201163915082474886731,1,0>	0	<>	<6,228.56659999999999399733497,-99.198099999999996612132236>	0	0.10065499999999999447553023	0
158	<3.8793569418505562396148889,100,1,15.656630385740021083051943,5.9585551968582697313081553,61.538534453855142203337891,2.3200040707923488270125745,40.723550245502757150006801,3.9975886293675695348781574,12.600565241929407633847404,3.158070114514823334417315,3.7427738791996492118130391,6.9673740542341837667095206,31.263889712870071235784053,4.03202013952286009157433,79.103216775275399186284631>	0	<>	<7,344.6291699999999877945811,-100>	0	0.099470999999999989982235604	0
159	<4.3649275239393707792601163,97.795776649283141068735858,1.1279707598164541160201679,70.567125021744118384958711,1.7107650203214794792927478,14.819434850858261398798277,2.1291778782052817042824699,73.476660053002021300017077,1.5050114674982668638847372,27.081466013137934112364746,4.3392916858844881033974161,56.340494265938410478611331,3.4147209294208891172672793,13.935718691877889696684178,5.4999199316370859236258184,62.844584725259146296139079>	0	<>	<5,416.8613000000000283762347,-97.795799999999999840838427>	0	0.10235299999999999953637086	0
160	<3.669747141967409920226828,0.375,1.3304662650127272449651628,0,5.9709478271989837594446726,62.14226603607752963398525,5.6179017506623178945801556,55.941342635052905052361893,1.6555188035850965100337362,67.844748621734211724287889,2.6355093031355689703332246,71.902743376280540132938768,4.1338708360604332625598545,21.353161531199312150874903,7.1536329100623881060982967,100>	0	<>	<7,379.55919999999997571649146,-100>	0	0.099244999999999999884536805	0
161	<3.3078870774749136174364139,36.724762627101043221955479,1.6921725267042277973672526,55.740460220603488039614604,5.4182530005547464568849136,35.202895493806757087895676,1.5726046504325255082079593,77.915219812614481043056003,4.940681318259183996133288,48.051926422888378453990299,2.9549135677306512803852456,37.079083294411695703729492,1.9744599049326310158392062,36.336931090958849210892367,2.4876662041003192449295511,64.481336653456708063458791>	0	<>	<5,391.53260000000000218278728,-77.915199999999998681232682>	0	0.095827999999999996516564238	0
162	<5.3845218901450380144524388,18.986700251226640290269643,5.1994571961459969955399174,72.616192220065826745667437,6.0400840663537778141289891,100,4.9639240996744131706464032,6.9453285573727114865505428,5.9938471512840347799055962,19.837398137821534049862748,2.3866372864631175687577525,0,1.209485317910782065098374,28.167383581710691231592136,5.6051385265798954193883219,38.355011557394178112190275>	0	<>	<6,284.90802999999999656211003,-100>	0	0.098651000000000044209969019	0
163	<1.4271212102273111987926768,88.462313593740603323567484,1.3304662650127272449651628,0,5.9709478271989837594446726,62.14226603607752963398525,5.6179017506623178945801556,55.941342635052905052361893,1.6555188035850965100337362,67.844748621734211724287889,2.6355093031355689703332246,18.688220632583004032767349,2.4855673236239548273829314,21.353161531199312150874903,7.1536329100623881060982967,27.931103914944038990597619>	0	<>	<7,342.36309999999997444319888,-88.462299999999999045030563>	0	0.11321199999999999319388877	0
164	<6.0241984664575189967195001,27.589647903847343002325943,4.2723442973905916275612071,88.615866465780825933507003,6.4218588342991935746795207,99.555063154341212339204503,1,20.284820187620269393846684,2.6147079023601058622716664,10.158511186092397338143201,6.5582613514541936439172787,91.276278668677576888512704,2.4513678925351092274809162,46.398857141099341561130132,2.9982019013251188788160562,92.004044909032089094580442>	0	<>	<7,475.88310000000001309672371,-99.55509999999999593001121>	0	0.10282600000000000073363537	0
165	<1.5211564654117246675468778,95.540805205488950946346449,7.8910891678608434673947158,54.064487597935126927950478,2.8667409899024018926638746,75.115426012834262792239315,1.0366140925495950231294273,85.618591488161399638556759,7.2385191344602581864364765,53.517618474325914235123491,2.6579016831973110157605333,100,1,3.5399811919964765394297501,2.170558779347016908900514,14.011678990913406295248933>	0	<>	<8,481.40857999999997218765202,-100>	0	0.099524000000000001353583912	0
166	<2.2775743029907227210628662,36.828253794148679389763856,3.8247451613772405210056604,9.6027258362633762800442128,7.8749754232703592649045277,100,2.5689051878028106301599109,65.25681636541001751083968,6.5718311316202537852859678,86.006870114247718106526008,4.7465461947706275580571855,82.255001078478528597770492,2.5023465834103273408572932,69.718464589546655929552799,1.3770977642280504138483366,84.098121050790936692465039>	0	<>	<8,533.7663300000000390355126,-100>	0	0.10132499999999999840127884	0
167	<1.4964890859539101697350816,42.12768768990770240634447,4.1909638062077405606942193,51.463641529653052941739588,4.3826881732711049366457701,94.556886048315504922356922,1.7052149347519571787046289,55.681866479889428944716201,4.3411328579956354190017009,62.673617835470295744926261,4.8832823717423163856210522,65.026534192742090567662672,7.207154861282163871294415,99.693516176051232946520031,7.6747698372578110337371982,97.873480942972690854730899>	0	<>	<8,569.09720000000004347384674,-99.693500000000000227373675>	0	0.10036399999999999488320412	0
168	<1,99.121534917094521688341047,3.7490233046696630481164902,74.859220290025334065830975,3.4777139488038204540032439,82.799362196959265247642179,4.5156923544200573417128908,60.730809839782679659947462,6.1821790855294924682539204,81.929627005909395620619762,2.1316575725244626404730752,79.198616081475563532876549,6.4543753547847160234596231,34.446848386175396683483996,5.8995241757480076927322443,34.706265542053742478856293>	0	<>	<6,547.79219999999997980921762,-99.12149999999999749888957>	0	0.10171299999999999785771365	0
169	<1.3808629535515155595248871,0,2.1506218105324643730114076,9.4565182036983408409014373,6.5129930514437113231451804,58.559925695210658602718468,1.4623650468244986377897021,23.155620937773782941349054,4.7943139815676563131319199,86.008912737485445632046321,2.5918747060195892473188906,19.567509749702882260180559,5.9559805006515142977718824,38.97508482401030249775431,6.1544989222448780452623396,20.969886715044214753334018>	0	<>	<7,256.69342000000000325599103,-86.008899999999997021404852>	0	0.10130699999999999427746644	0
170	<3.3216677564530017185973065,83.059388530933944139178493,5.9137922273547349760747238,4.4230180347445502420100638,5.5486659689567359166062488,12.073946097900135399072497,1.8153560975638014518551699,78.544331844218234550680791,5.1516461671104867292569907,48.310408570598994515421509,2.6410151099045831024625386,7.2567411266531518521105681,4.2428072342848439646445513,6.8706714580164627292901969,5.2810957293403779644336282,54.970689003807805761425698>	0	<>	<6,295.50913000000002739398042,-83.059399999999996566657501>	0	0.087651999999999993806731879	0
171	<4.3797487865107829208000112,18.198047167713774285857653,3.898697730572287856176672,27.552009386733178786244025,2.2362819967029068379815726,5.8151902520634175530744869,1.4028057786183458777173882,23.369162913118099567100217,7.9887423007696600762983508,23.427377419279597603463117,1.5472128184266447092909402,81.259274986227637782576494,7.1535586002997861854169059,10.259776241266996166245917,2.7339498960571129160257442,10.179620729842984161450659>	0	<>	<8,200.06048999999998727616912,-81.259299999999996089172782>	0	0.096801999999999999158006858	0
