4	3	-1.5
3	4.125	-1.5
2	5.54218	-2.25
4	7.53674	-2.89499
3	105.25	-100
4	7.57349	-3.53998
3	104.5	-99.25
4	103.284	-100
3	9.76313	-5.26313
4	10.8419	-6.45418
4	13.6105	-6.78697
3	15.1562	-10.2812
3	15.712	-11.587
3	16.8834	-12.3834
3	17.4269	-13.3019
3	19.6029	-15.4779
3	22.4185	-17.3341
3	89.9689	-84.7189
3	26.8704	-18.6204
2	89.0392	-79.8517
3	87.8774	-80.6017
3	26.9239	-21.6739
4	84.5024	-80.6017
4	27.906	-23.2642
3	31.0214	-22.0214
4	29.9514	-27.117
3	31.9178	-27.117
3	35.2942	-29.2942
3	35.3999	-32.1164
5	43.6557	-38.8722
3	46.3747	-36.6247
3	46.627	-40.3262
4	46.8178	-40.6303
3	47.3803	-40.6303
2	48.0365	-40.6303
4	48.035	-42.41
6	48.4602	-42.5427
3	51.0123	-43.0023
4	51.2523	-43.7523
3	57.7765	-43.8594
3	62.6643	-51.5
7	59.2085	-48.875
